,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[0],4.4392,0.8166,2.9476,5.8192,0.0548,0.0242,200.865,240.8939,1.0181
E[1],3.1851,0.3036,2.6215,3.7709,0.004,0.0041,6034.826,8154.4436,1.0023
E[2],2.9271,0.3974,2.182,3.6049,0.0193,0.0053,428.7728,2868.286,1.0085
E[3],2.9286,0.3922,2.1861,3.5844,0.0194,0.0047,411.8584,2654.4969,1.0103
E[4],2.9276,0.3935,2.1877,3.5979,0.019,0.0046,435.7857,2913.5934,1.0085
E[5],2.983,0.6323,1.821,4.0534,0.0401,0.0167,227.3728,362.4105,1.0153
E[6],2.6234,0.5275,1.6718,3.5252,0.0315,0.0119,265.8283,691.5147,1.0143
E[7],2.4204,0.313,1.8293,2.9964,0.007,0.0031,2133.9495,7714.5696,1.0014
E[8],2.4647,0.4033,1.7096,3.1501,0.0203,0.0058,397.1742,2218.2023,1.0086
E[9],2.8631,0.6571,1.77,4.0693,0.0417,0.0175,222.829,367.1731,1.0174
E[10],2.3886,0.3477,1.7704,3.0578,0.0134,0.004,707.8561,2767.138,1.0059
E[11],2.3465,0.4554,1.4712,3.0957,0.0253,0.008,318.5511,1525.9138,1.0117
E[12],2.7532,0.6906,1.6075,4.0032,0.0444,0.0186,212.9476,318.219,1.0174
E[13],2.0868,0.2876,1.531,2.6245,0.0024,0.0038,14691.843,9019.9207,1.0012
E[14],2.0804,0.2938,1.518,2.6415,0.0023,0.0041,16565.8323,8464.103,1.0021
E[15],2.0828,0.2945,1.523,2.6534,0.0023,0.0044,15784.6269,9120.8431,1.0019
E[16],1.8435,0.3,1.2789,2.4192,0.0058,0.0034,2745.453,5881.8858,1.0015
E[17],1.8441,0.3039,1.2772,2.4258,0.0059,0.0035,2763.5565,6961.0298,1.0017
E[18],1.773,0.2914,1.1846,2.3012,0.0038,0.0038,6084.9686,7982.1945,1.0012
E[19],1.8484,0.3943,1.0943,2.5099,0.019,0.005,434.8931,2272.9816,1.0082
E[20],1.782,0.3356,1.146,2.3887,0.0116,0.0032,870.0353,4411.5994,1.0034
E[21],1.7808,0.3341,1.1404,2.3739,0.0115,0.0032,885.3992,4063.6937,1.0036
E[22],1.7831,0.3375,1.1323,2.3746,0.0118,0.0032,856.4475,5030.2941,1.0044
E[23],1.6598,0.331,1.0618,2.2998,0.0105,0.0037,1050.603,3842.1501,1.0033
E[24],1.6629,0.3242,1.1008,2.3118,0.0105,0.0034,1009.903,4850.4792,1.0036
E[25],1.6636,0.3293,1.0822,2.3165,0.0104,0.0036,1045.741,3945.7981,1.0036
E[26],1.6276,0.389,0.8783,2.274,0.0183,0.0047,462.6589,2516.2509,1.0076
E[27],1.6283,0.389,0.8875,2.2809,0.0178,0.0052,488.1977,2034.8879,1.0082
E[28],1.6295,0.3859,0.9054,2.296,0.0183,0.0051,453.1429,2473.5286,1.0084
E[29],1.3624,0.2913,0.7727,1.886,0.0025,0.0038,13919.3217,9847.0497,1.0007
E[30],1.3607,0.2882,0.8094,1.9082,0.0025,0.0034,12899.488,9544.5797,1.002
E[31],1.389,0.3397,0.7547,1.9934,0.012,0.0033,833.1814,4012.3311,1.004
E[32],1.5219,0.3453,0.9362,2.2143,0.0139,0.0039,650.3041,2429.6782,1.0057
E[33],1.8168,0.5385,0.7942,2.6858,0.0327,0.0125,254.5504,624.5841,1.0148
E[34],2.226,0.8474,0.8102,3.7526,0.0568,0.025,192.9524,223.4066,1.0202
E[35],1.2097,0.3138,0.5995,1.7794,0.0088,0.0035,1323.9604,5440.2157,1.0028
E[36],1.2082,0.3148,0.604,1.7721,0.0081,0.0033,1582.8608,6625.7934,1.0022
E[37],1.2102,0.3094,0.6147,1.7646,0.0084,0.003,1379.6453,6305.2323,1.0033
E[38],1.2979,0.3695,0.577,1.9089,0.0162,0.0042,539.0916,2500.9011,1.008
E[39],1.2973,0.3685,0.5767,1.9114,0.0163,0.0042,525.699,2952.139,1.007
E[40],1.1171,0.3387,0.4709,1.7193,0.0119,0.0034,867.0438,4586.355,1.0041
E[41],1.2385,0.39,0.4968,1.9008,0.019,0.0051,419.5757,2089.1465,1.0081
E[42],1.4352,0.476,0.5359,2.2129,0.0266,0.0083,311.2257,1420.7514,1.0125
E[43],1.0153,0.3055,0.4376,1.5968,0.0055,0.0036,3216.2279,7235.0776,1.0013
E[44],1.0158,0.2967,0.4786,1.5895,0.0059,0.0034,2634.0108,8472.0973,1.0016
E[45],1.0163,0.2987,0.4573,1.5853,0.0061,0.0035,2487.3132,6425.8259,1.0015
E[46],1.0174,0.3032,0.4565,1.6055,0.006,0.0036,2649.9711,6203.6448,1.0015
E[47],0.957,0.2934,0.3984,1.5193,0.0029,0.0038,10228.7656,9005.5007,1.0011
E[48],0.9558,0.2927,0.3878,1.4969,0.003,0.0042,10055.0313,8943.5021,1.001
E[49],1.0551,0.3549,0.3648,1.6524,0.0147,0.0041,602.5246,2418.6213,1.0073
E[50],1.4009,0.4873,0.5059,2.2394,0.0275,0.0096,302.4321,1075.2264,1.0126
E[51],1.2404,0.4099,0.5554,2.0244,0.0209,0.0063,388.3622,1548.5472,1.0102
E[52],1.2449,0.4087,0.5687,2.0377,0.0209,0.0064,381.5792,1674.9658,1.0098
E[53],1.2448,0.4106,0.5881,2.052,0.0207,0.0061,392.1493,1930.1544,1.0095
E[54],0.9777,0.3164,0.3705,1.5496,0.0086,0.0031,1403.1498,6263.6493,1.0036
E[55],0.9406,0.3063,0.3998,1.5459,0.0079,0.0033,1622.2056,6058.734,1.0027
E[56],0.9363,0.3086,0.3888,1.5533,0.0078,0.0033,1651.8032,6273.4171,1.0022
E[57],0.863,0.2927,0.2842,1.4104,0.0021,0.0037,18802.4404,9434.3902,1.001
E[58],0.8641,0.308,0.2891,1.4457,0.0058,0.0035,2884.9499,6867.7288,1.0014
E[59],0.8666,0.3031,0.2625,1.4132,0.0061,0.0039,2624.0221,6669.8973,1.0013
E[60],0.8668,0.3055,0.2577,1.4076,0.0061,0.0036,2619.2103,7600.5321,1.0013
E[61],1.1625,0.4232,0.3851,1.8803,0.0221,0.0066,365.6892,1680.4602,1.0107
