,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[0],3.4908,0.5718,2.3727,4.5251,0.0046,0.0045,15611.5607,11605.2624,1.0
E[1],3.4811,0.5726,2.4338,4.5705,0.0043,0.0044,17522.4015,12892.5073,1.0004
E[2],2.674,0.5662,1.6258,3.7463,0.0045,0.0044,15955.5905,11985.5731,1.0
E[3],2.6756,0.5724,1.63,3.7742,0.0046,0.0044,15370.2298,11889.697,0.9999
E[4],2.6776,0.5664,1.628,3.7603,0.0044,0.0044,16942.1834,12435.993,1.0004
E[5],2.2716,0.5716,1.1937,3.3404,0.0042,0.0046,18777.1489,12284.6996,1.0001
E[6],2.0641,0.5639,1.0274,3.1479,0.0042,0.0045,17842.2045,12617.6827,1.0004
E[7],2.3991,0.5708,1.361,3.5125,0.0044,0.0045,16978.0676,11774.2296,1.0002
E[8],2.1625,0.5717,1.0755,3.2092,0.0048,0.0044,14198.7526,12116.5505,1.0003
E[9],3.9692,0.5876,2.8587,5.0703,0.0047,0.0046,15477.6272,10762.1959,1.0003
E[10],2.826,0.5704,1.7553,3.8953,0.0046,0.0048,15607.314,11988.41,1.0001
E[11],1.9087,0.5715,0.8737,3.0136,0.0041,0.0046,19065.1629,12344.0095,1.001
E[12],3.9039,0.58,2.8055,4.9908,0.0044,0.0046,17428.5789,11703.7527,1.0001
E[13],2.2124,0.5699,1.147,3.2895,0.0045,0.0045,15711.6031,11943.7641,1.0001
E[14],2.2217,0.562,1.1512,3.2736,0.0045,0.0042,15919.3478,12326.8337,1.0005
E[15],2.2222,0.5661,1.1399,3.2724,0.0043,0.0047,17288.5317,11699.9293,1.0002
E[16],2.0909,0.5669,1.0384,3.1477,0.0044,0.0044,16934.339,12341.2208,1.0006
E[17],2.0838,0.5727,0.9679,3.1162,0.0044,0.0045,17276.5521,12158.7866,1.0002
E[18],1.7813,0.5704,0.7295,2.8634,0.0046,0.0043,15660.2387,11307.6053,1.0
E[19],1.5246,0.5755,0.4554,2.614,0.0044,0.0045,17030.7321,12297.9891,1.0002
E[20],1.6168,0.5687,0.5708,2.6949,0.0045,0.0044,15988.1351,11942.2429,1.0001
E[21],1.6124,0.5754,0.52,2.6783,0.0041,0.0046,19822.202,11802.4952,1.0002
E[22],1.6075,0.5631,0.5397,2.6549,0.0045,0.0045,15387.9179,12191.8993,0.9999
E[23],1.985,0.5668,0.9566,3.0828,0.0049,0.0043,13291.7704,12155.812,1.0002
E[24],1.9896,0.566,0.965,3.1194,0.0045,0.0045,16065.2823,12133.1996,1.0002
E[25],1.9868,0.566,0.8883,3.0205,0.0043,0.0045,17350.7098,11888.2951,1.0002
E[26],1.3015,0.5627,0.2825,2.3817,0.0043,0.0043,16754.2359,11570.8764,1.0
E[27],1.2988,0.5655,0.2341,2.3592,0.0049,0.0046,13586.7567,10132.6681,1.0004
E[28],1.2977,0.5638,0.2179,2.3398,0.0042,0.0046,18201.8213,12182.8181,1.0
E[29],1.3794,0.5699,0.3149,2.4466,0.0045,0.0044,15698.1242,12158.0208,1.0001
E[30],1.3839,0.5716,0.3132,2.4601,0.0039,0.0051,21038.9376,11218.0157,1.0004
E[31],1.1788,0.5725,0.1227,2.2531,0.0046,0.0044,15727.2162,11998.7026,1.0003
E[32],1.9096,0.5598,0.8338,2.932,0.004,0.0043,19231.3265,12907.8253,1.0002
E[33],1.183,0.5717,0.1399,2.2742,0.0043,0.0045,17748.4616,12507.1981,1.0003
E[34],3.6197,0.5783,2.5461,4.7131,0.0046,0.0045,15826.7682,11913.7668,1.0004
E[35],1.0835,0.5662,0.0031,2.1128,0.0043,0.0046,17443.1645,11974.2609,1.0001
E[36],1.0781,0.5581,0.0569,2.1447,0.0042,0.0045,17790.5766,12228.1417,1.0003
E[37],1.0775,0.5642,0.0056,2.1247,0.0045,0.0045,15457.4952,11884.4407,1.0004
E[38],1.0035,0.5623,-0.0305,2.072,0.0045,0.0043,15476.9446,11425.0277,1.0004
E[39],0.9926,0.569,-0.0543,2.07,0.0041,0.0046,19282.1706,11658.4914,1.0001
E[40],0.8908,0.567,-0.149,1.9615,0.0046,0.0043,14967.152,12257.3093,1.0
E[41],0.8724,0.5671,-0.1877,1.9417,0.0044,0.0044,16962.8688,12182.6235,1.0002
E[42],0.915,0.5692,-0.1476,1.9863,0.0042,0.0047,18339.4869,11918.6832,1.0008
E[43],1.1963,0.5598,0.1237,2.2196,0.004,0.0047,19799.1888,11769.6942,1.0
E[44],1.1935,0.566,0.1058,2.2241,0.0041,0.0044,18740.7411,12227.539,1.0002
E[45],1.1893,0.5684,0.1113,2.2422,0.0042,0.005,17973.2579,9971.6204,1.0001
E[46],1.1969,0.5722,0.1165,2.2674,0.0044,0.0048,17096.2989,10772.1884,1.0001
E[47],0.9398,0.5623,-0.0982,2.0117,0.0042,0.0045,18226.27,12249.3479,1.0001
E[48],0.9465,0.5629,-0.1065,1.9955,0.0045,0.0043,15976.4245,12541.7473,1.0
E[49],0.7786,0.5673,-0.2753,1.8739,0.0039,0.0048,20647.5071,12718.3,1.0
E[50],0.859,0.5687,-0.1864,1.9335,0.0042,0.0049,18385.5674,11564.266,1.0001
E[51],1.7684,0.5723,0.7122,2.8467,0.0043,0.0045,17860.2227,12614.6609,1.0001
E[52],1.7633,0.5664,0.7029,2.8346,0.0044,0.0045,16621.9554,12172.3666,1.0
E[53],1.7586,0.5613,0.7006,2.8161,0.0045,0.0044,15597.4794,12363.7672,1.0004
E[54],0.8232,0.5622,-0.2546,1.8558,0.0044,0.0043,16164.8954,12255.2853,1.0002
E[55],1.1607,0.553,0.1075,2.1796,0.0042,0.0045,16991.1708,11570.012,1.0007
E[56],1.1563,0.5759,0.0829,2.2515,0.0044,0.0051,17378.1384,12155.1978,1.0
