case_id,n_reviewed,n_supported,n_unsupported,n_uncertain,hallucination_binary_strict,hallucination_binary_lenient,hallucination_count_strict,hallucination_count_lenient,hallucination_rate_strict,hallucination_rate_lenient,generated_observation_count,reference_observation_count,shared_observation_count,generated_only_count,reference_only_count,precision_obs,recall_obs,f1_obs,jaccard_obs
1004616657379357,9,0,4,5,1,1,4,9,0.4444444444444444,1.0,8,2,0,8,2,0.0,0.0,,0.0
1026887750239281,9,4,1,4,1,1,1,5,0.1111111111111111,0.5555555555555556,11,7,2,9,5,0.1818181818181818,0.2857142857142857,0.2222222222222222,0.125
1026887751513702,6,0,0,6,0,1,0,6,0.0,1.0,7,2,1,6,1,0.1428571428571428,0.5,0.2222222222222222,0.125
1026887754137212,5,0,0,5,0,1,0,5,0.0,1.0,6,4,1,5,3,0.1666666666666666,0.25,0.2,0.1111111111111111
1026887757976739,6,0,0,6,0,1,0,6,0.0,1.0,6,3,0,6,3,0.0,0.0,,0.0
1040237251966612,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0
1040237256446284,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0
1040237259239338,7,0,0,7,0,1,0,7,0.0,1.0,7,2,0,7,2,0.0,0.0,,0.0
1041064153850317,3,0,0,3,0,1,0,3,0.0,1.0,5,4,2,3,2,0.4,0.5,0.4444444444444445,0.2857142857142857
1041064156839020,4,2,1,1,1,1,1,2,0.25,0.5,4,3,0,4,3,0.0,0.0,,0.0
1043978150501762,7,0,0,7,0,1,0,7,0.0,1.0,7,4,0,7,4,0.0,0.0,,0.0
1043978151129150,6,0,0,6,0,1,0,6,0.0,1.0,7,4,1,6,3,0.1428571428571428,0.25,0.1818181818181818,0.1
1043978155725911,5,1,0,4,0,1,0,4,0.0,0.8,5,3,0,5,3,0.0,0.0,,0.0
1043978155811525,11,0,0,11,0,1,0,11,0.0,1.0,12,2,1,11,1,0.0833333333333333,0.5,0.1428571428571428,0.0769230769230769
1043978156498272,10,2,1,7,1,1,1,8,0.1,0.8,9,9,0,9,9,0.0,0.0,,0.0
1043978156925922,7,0,0,7,0,1,0,7,0.0,1.0,7,4,0,7,4,0.0,0.0,,0.0
1044929752837403,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0
1044929754773340,6,0,1,5,1,1,1,6,0.16666666666666666,1.0,6,1,0,6,1,0.0,0.0,,0.0
1052372556078456,10,0,0,10,0,1,0,10,0.0,1.0,10,1,0,10,1,0.0,0.0,,0.0
1071547752467293,10,2,1,7,1,1,1,8,0.1,0.8,10,3,0,10,3,0.0,0.0,,0.0
1086720251707133,5,0,1,4,1,1,1,5,0.2,1.0,5,3,0,5,3,0.0,0.0,,0.0
1086720253652133,5,0,1,4,1,1,1,5,0.2,1.0,6,7,1,5,6,0.1666666666666666,0.1428571428571428,0.1538461538461538,0.0833333333333333
1086720257761141,6,0,0,6,0,1,0,6,0.0,1.0,6,1,0,6,1,0.0,0.0,,0.0
1086720259071382,6,0,0,6,0,1,0,6,0.0,1.0,7,5,1,6,4,0.1428571428571428,0.2,0.1666666666666666,0.0909090909090909
1086720259535316,7,0,0,7,0,1,0,7,0.0,1.0,6,3,0,6,3,0.0,0.0,,0.0
1088569659532499,8,4,0,4,0,1,0,4,0.0,0.5,6,4,0,6,4,0.0,0.0,,0.0
1088636256034024,5,0,0,5,0,1,0,5,0.0,1.0,5,1,0,5,1,0.0,0.0,,0.0
1093360950205123,6,1,1,4,1,1,1,5,0.16666666666666666,0.8333333333333334,8,6,2,6,4,0.25,0.3333333333333333,0.2857142857142857,0.1666666666666666
1093360950289849,9,0,1,8,1,1,1,9,0.1111111111111111,1.0,9,2,0,9,2,0.0,0.0,,0.0
1093360950636786,6,3,2,1,1,1,2,3,0.3333333333333333,0.5,7,8,1,6,7,0.1428571428571428,0.125,0.1333333333333333,0.0714285714285714
1093360951002383,9,0,0,9,0,1,0,9,0.0,1.0,8,1,0,8,1,0.0,0.0,,0.0
1093360951816597,8,0,0,8,0,1,0,8,0.0,1.0,8,4,0,8,4,0.0,0.0,,0.0
1093360952624179,12,0,0,12,0,1,0,12,0.0,1.0,11,2,0,11,2,0.0,0.0,,0.0
1093360952935265,10,0,1,9,1,1,1,10,0.1,1.0,9,2,0,9,2,0.0,0.0,,0.0
1093360953512860,5,2,0,3,0,1,0,3,0.0,0.6,4,2,0,4,2,0.0,0.0,,0.0
1093360954300688,9,1,0,8,0,1,0,8,0.0,0.8888888888888888,9,1,0,9,1,0.0,0.0,,0.0
1093360954422699,10,1,0,9,0,1,0,9,0.0,0.9,11,3,1,10,2,0.0909090909090909,0.3333333333333333,0.1428571428571428,0.0769230769230769
1093360954694185,11,0,0,11,0,1,0,11,0.0,1.0,11,4,0,11,4,0.0,0.0,,0.0
1093360954870311,8,3,0,5,0,1,0,5,0.0,0.625,8,4,0,8,4,0.0,0.0,,0.0
1093360955447530,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0
1093360955646831,9,2,0,7,0,1,0,7,0.0,0.7777777777777778,9,7,0,9,7,0.0,0.0,,0.0
1093360955736427,8,1,1,6,1,1,1,7,0.125,0.875,9,6,2,7,4,0.2222222222222222,0.3333333333333333,0.2666666666666666,0.1538461538461538
1093360956535476,8,2,1,5,1,1,1,6,0.125,0.75,9,7,1,8,6,0.1111111111111111,0.1428571428571428,0.125,0.0666666666666666
1093360957290683,6,1,2,3,1,1,2,5,0.3333333333333333,0.8333333333333334,6,3,0,6,3,0.0,0.0,,0.0
1093360957695180,4,2,2,0,1,1,2,2,0.5,0.5,4,3,0,4,3,0.0,0.0,,0.0
1093360958929044,10,1,0,9,0,1,0,9,0.0,0.9,10,3,0,10,3,0.0,0.0,,0.0
1093360959225625,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0
1097544650572011,6,1,0,5,0,1,0,5,0.0,0.8333333333333334,6,0,0,6,0,0.0,,,0.0
1097544651473674,6,1,0,5,0,1,0,5,0.0,0.8333333333333334,6,3,0,6,3,0.0,0.0,,0.0
1097544659969148,7,1,1,5,1,1,1,6,0.14285714285714285,0.8571428571428571,7,4,0,7,4,0.0,0.0,,0.0
1102224550078440,11,1,0,10,0,1,0,10,0.0,0.9090909090909091,12,4,1,11,3,0.0833333333333333,0.25,0.125,0.0666666666666666
1102224550146341,6,1,0,5,0,1,0,5,0.0,0.8333333333333334,6,4,0,6,4,0.0,0.0,,0.0
1105227354389393,5,2,0,3,0,1,0,3,0.0,0.6,6,3,1,5,2,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.125
1105293557171514,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0
