observation,shared_case_count,generated_only_case_count,reference_only_case_count
acute process,0,0,41
pneumonia,9,20,37
atelectasis,14,37,28
infection,3,8,17
edema,4,32,14
consolidation,0,16,13
opacity,2,7,11
cardiomegaly,0,2,11
mild,0,1,11
scarring,1,8,10
aspiration,0,6,10
acute,0,0,10
mild edema,0,9,9
effusion,7,131,8
congestion,0,26,8
low,7,31,7
mild congestion,1,16,7
small effusions,1,10,7
moderate cardiomegaly,1,3,7
fibrosis,0,0,7
stable,1,32,6
chronic changes,0,0,6
small effusion,4,14,5
opacities,1,3,5
acute disease,0,3,5
chf,0,1,5
small,0,1,5
moderate effusion,1,4,4
mild cardiomegaly,0,4,4
infectious,0,1,4
superimposed,0,0,4
acute abnormality,0,18,3
free air,0,9,3
opacification,0,2,3
tube,0,2,3
chronic disease,1,1,3
infectious process,0,1,3
acute findings,0,0,3
severe emphysema,0,0,3
effusions,0,10,2
increased markings,0,4,2
changes,0,2,2
findings,0,2,2
focal,0,2,2
large mass,0,2,2
new consolidation,0,2,2
tip,0,2,2
moderate,0,1,2
new,0,1,2
stable cardiomegaly,0,1,2
streaky opacities,0,1,2
subtle opacity,0,1,2
appearance,0,0,2
bronchiectasis,0,0,2
chronic fibrosis,0,0,2
dilated,0,0,2
disease,0,0,2
fibrotic,0,0,2
fluid,0,0,2
fracture,0,0,2
hazy opacity,0,0,2
increasing atelectasis,0,0,2
interval change,0,0,2
moderate edema,0,0,2
mucous plugging,0,0,2
new opacities,0,0,2
organizing pneumonia,0,0,2
radiograph,0,0,2
residual opacity,0,0,2
sarcoid,0,0,2
sarcoidosis,0,0,2
stable mild cardiomegaly,0,0,2
superimposed acute process,0,0,2
superimposed edema,0,0,2
clear,0,58,1
focal consolidation,1,52,1
unchanged,1,48,1
enlarged,1,13,1
increased opacity,0,10,1
change,0,5,1
patchy opacity,1,4,1
copd,0,4,1
crowding,0,4,1
linear atelectasis,0,4,1
mild atelectasis,0,4,1
emphysema,0,3,1
focal opacity,0,3,1
malignancy,0,3,1
picc,0,3,1
new opacity,1,2,1
congestive failure,0,2,1
focal consolidations,0,2,1
hemorrhage,0,2,1
improvement edema,0,2,1
increased,0,2,1
indistinctness,0,2,1
new abnormalities,0,2,1
overlying atelectasis,0,2,1
stable effusion,0,2,1
stable scarring,0,2,1
thickening,0,2,1
trace effusions,0,2,1
orogastric tube,1,1,1
asymmetric,0,1,1
asymmetric edema,0,1,1
chronic,0,1,1
chronic scarring,0,1,1
congestive,0,1,1
greater,0,1,1
increased edema,0,1,1
left picc,0,1,1
mild - to - moderate edema,0,1,1
mild rightward shift,0,1,1
minor atelectasis,0,1,1
moderate small effusions,0,1,1
new focal consolidation,0,1,1
nodular opacity,0,1,1
nodule,0,1,1
opacity silhouetting,0,1,1
overt edema,0,1,1
persistent opacities,0,1,1
persistent opacity,0,1,1
picc line,0,1,1
superimposed consolidation,0,1,1
trace effusion,0,1,1
trace effusion unchanged,0,1,1
et tube,1,0,1
new acute infiltrates,1,0,1
13 mm nodule,0,0,1
abnormalities,0,0,1
acute aspiration,0,0,1
acute change,0,0,1
acute exacerbation chf,0,0,1
acute exacerbation disease,0,0,1
acute pneumonia,0,0,1
acute superimposed pneumonia,0,0,1
adjacent,0,0,1
aeration,0,0,1
airspace,0,0,1
appropriately,0,0,1
artifact,0,0,1
atelectasis improved,0,0,1
atypical infection,0,0,1
balloon pump device in place,0,0,1
bronchovasculature,0,0,1
cardiogenic,0,0,1
cardiomyopathy,0,0,1
change opacity,0,0,1
chest tube proper positions,0,0,1
